policy_id,run_name,policy_type,checkpoint_step,scenario,scenario_in_distribution,seed,trial_id,steps,falls,first_fall_step,first_fall_time_s,survival_fraction,total_reward,mean_reward,tracking_rmse,command_failure_rate,mean_torso_up,min_torso_up,mean_root_height,min_root_height,mean_horizontal_speed,mean_action_rate_norm,mean_mechanical_power_abs,mean_foot_slip_speed
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,lateral,False,19,P03_v16_forward_bvh:lateral:seed19,500.0,2.0,232.0,4.64,0.464,-88.38179038651288,-0.17676358077302576,0.3503015327940743,0.712,0.9478493982553482,0.8961066603660583,1.4585610842704773,0.8971309065818787,0.24500019880795473,21.606456084046577,147.23064969872456,0.30788342888548337
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,stand,True,7,P03_v16_forward_bvh:stand:seed7,500.0,1.0,459.0,9.18,0.918,-1851.6136829219759,-3.7032273658439516,0.31433927171628967,0.292,0.9299036283493042,0.7910125255584717,1.4525565708875656,0.9064546227455139,0.21054852985819708,33.6496279285272,215.86213772176717,0.29941564949329985
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,stand,True,19,P03_v16_forward_bvh:stand:seed19,500.0,1.0,411.0,8.22,0.822,-1813.6320686982945,-3.627264137396589,0.7193967846216803,0.336,0.9354960129261017,0.6529056429862976,1.4319599511623382,0.8731144666671753,0.2725406649294827,34.136756489095276,254.7472453133539,0.3846507455576318
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,turn,False,7,P03_v16_forward_bvh:turn:seed7,500.0,5.0,99.0,1.98,0.198,-1069.8824663423002,-2.1397649326846,0.7641484394647621,0.992,0.9191816174983978,0.21046218276023865,1.3964295456409455,0.8614048957824707,0.3996486622588236,20.541732323271653,240.293561158002,0.4433521092323866
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,biomechanics,53739520,turn,False,19,P03_v16_forward_bvh:turn:seed19,500.0,6.0,74.0,1.48,0.148,-1212.3440290791914,-2.4246880581583827,0.8132037682625176,1.0,0.9199489796161652,0.2345001995563507,1.3964786285161972,0.8646360635757446,0.3399550375668404,22.15185711510277,256.05498091150105,0.4498221344937767
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,diagonal,False,7,P04_v16_forward_bvh:diagonal:seed7,500.0,5.0,98.0,1.96,0.196,-253.9060556818731,-0.5078121113637463,0.5306334299591483,0.998,0.9373031252622605,0.8141924738883972,1.4190463885068894,0.8567714095115662,0.48723563021849564,25.14687175482396,232.06557834738533,0.46731760980935994
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,diagonal,False,19,P04_v16_forward_bvh:diagonal:seed19,500.0,5.0,122.0,2.44,0.244,-103.08098714798689,-0.20616197429597377,0.5279379853316937,0.994,0.9247311359643936,0.8049299120903015,1.413229276061058,0.8700113296508789,0.5036453121378938,25.596289306117647,241.30633859135995,0.49706560955103946
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,forward,True,7,P04_v16_forward_bvh:forward:seed7,500.0,0.0,500.0,10.0,1.0,1245.992987114936,2.4919859742298724,0.273694878529366,0.474,0.9357610912322998,0.8660571575164795,1.4724895477294921,1.4253052473068237,0.35692792729809264,31.63456026039432,204.0211996948233,0.25866400534814515
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,forward,True,19,P04_v16_forward_bvh:forward:seed19,500.0,0.0,500.0,10.0,1.0,1235.316134430468,2.4706322688609363,0.2730261230264803,0.448,0.9466397135257721,0.8944364786148071,1.4757620112895966,1.4339196681976318,0.37707976572351115,33.39973859210845,207.5318478509732,0.2374655368897146
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,forward_slow,True,7,P04_v16_forward_bvh:forward_slow:seed7,500.0,0.0,500.0,10.0,1.0,1132.2339752167463,2.2644679504334926,0.21273645657248064,0.278,0.9396817308664321,0.8636744022369385,1.4726524364948272,1.4141110181808472,0.24838057063174215,33.88816893066453,202.01299459473495,0.27164971570925467
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,forward_slow,True,19,P04_v16_forward_bvh:forward_slow:seed19,500.0,0.0,500.0,10.0,1.0,679.713827249594,1.3594276544991881,0.2682533792814479,0.35,0.933222983956337,0.8280636072158813,1.4613896107673645,1.378745198249817,0.2583351019383984,35.69494637249597,222.8670080036862,0.28796773537219106
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,biomechanics,8110080,lateral,False,7,P04_v16_forward_bvh:lateral:seed7,500.0,2.0,229.0,4.58,0.458,-41.51102076936513,-0.08302204153873026,0.4513237167776034,0.718,0.9112939562797546,0.7982918620109558,1.432642091870308,0.8723579049110413,0.2898897167776752,26.667931942108016,179.99573261839205,0.32071674653122745
