policy_id,run_name,scenario,actuator,mean_action,mean_abs_action,std_action,saturation_rate,motor_error_rmse,torque_rms,mean_abs_power
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,forward,abdomen_x,-0.2564107397047337,0.2664022524023894,0.1642380522422204,0.0,0.014563686463663498,2.637254632738377,0.17691942422180507
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,forward_slow,abdomen_x,-0.1563893497400277,0.1804649791571137,0.1609554774038722,0.0,0.01790369493949705,3.234536896166283,0.17561098597894137
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,lateral,abdomen_x,0.06960528333770344,0.21494592835725052,0.2673597830631447,0.0,0.11428646150962521,20.53109587711604,2.698763323487737
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,stand,abdomen_x,0.19370700312260306,0.22972739818278934,0.17724340639249664,0.0,0.02314809697507174,4.170872347628908,0.09215324224864539
P07_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_stylev1_trajectory_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_2241_70m_seed7_running,turn,abdomen_x,-0.1342547540011583,0.2916339340271661,0.33455761594153444,0.001,0.10156600056262556,18.28105246810675,2.5782648384933893
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,diagonal,abdomen_x,-0.1888245514915907,0.32990002593101236,0.36067896796776655,0.0,0.11536237457229752,20.810786057437312,11.765216071477639
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,forward,abdomen_x,-0.13339918706315804,0.37287596209015467,0.4130560280855662,0.001,0.10914276044664989,19.66583080734859,8.148140083692939
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,forward_slow,abdomen_x,-0.13271235333848744,0.3705225630328059,0.41402891887361426,0.0,0.11377417030426659,20.48950347044748,7.979438352009453
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,lateral,abdomen_x,-0.29769726239016747,0.42378556622972247,0.3909028722214132,0.0,0.1008404224179263,18.166390293784893,6.5987910330248924
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,stand,abdomen_x,-0.0840927608225611,0.09713131191610591,0.08483685608539822,0.0,0.007521912771349149,1.3608324195939872,0.02348945699625523
P08_v16_standard_bvh,biomechanics_ref_bvh_v10_best87040_erfi_dr_180m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_2136_180m_seed7_running,turn,abdomen_x,-0.04394496764813084,0.3083123162579723,0.378860678676111,0.001,0.11803211927024544,21.282077874224953,12.822040999771525
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,diagonal,abdomen_x,,,,0.0,,,
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,forward,abdomen_x,,,,0.0,,,
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,forward_slow,abdomen_x,,,,0.0,,,
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,lateral,abdomen_x,,,,0.0,,,
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,stand,abdomen_x,,,,0.0,,,
P09_berkeley_flat,ppo_BerkeleyHumanoidJoystickFlatTerrain_20260627_1803_50m_seed7,turn,abdomen_x,,,,0.0,,,
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,diagonal,abdomen_y,-0.42273440384399147,0.4478306375695392,0.2419539938234113,0.0,0.011764512684866793,2.116852512694732,0.2154956182819114
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,forward,abdomen_y,-0.2519204824498738,0.26309963136020814,0.18406779371867021,0.0,0.006551713721102104,1.2102703077926673,0.14456469155061363
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,forward_slow,abdomen_y,-0.32657088183774613,0.3330392653828021,0.14347570223716447,0.0,0.005025529444467703,0.9221252082526086,0.12468548489323787
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,lateral,abdomen_y,-0.1725549647269072,0.3564967481578933,0.38114805200792745,0.001,0.018151778476276897,3.2669619479839804,0.3421576709853189
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,stand,abdomen_y,-0.1718167200506432,0.19197720680420752,0.12901539438340315,0.0,0.00524899746205379,0.9542739582448173,0.030727212870463965
P01_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260615_1300_70m_seed7_running,turn,abdomen_y,-0.3666560945856618,0.3914010368740419,0.29075113804237895,0.002,0.011335659459322977,2.05535214043412,0.15159250446505415
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,diagonal,abdomen_y,-0.38658635364926885,0.4185542122729821,0.27890169006251553,0.0,0.011976918328362738,2.1727200449633646,0.2239250160127333
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,forward,abdomen_y,-0.2838802639123751,0.29951327400573063,0.21959672798543278,0.0,0.006616358931024832,1.2385542038047725,0.17155112143850285
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,forward_slow,abdomen_y,-0.2187686457351083,0.2462765333779389,0.19066666305223065,0.0,0.005887319428580303,1.111995819795074,0.1389203435845014
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,lateral,abdomen_y,-0.23738772127061383,0.45492866407876137,0.44601713208685867,0.0,0.011094051602172925,2.0251633688599266,0.3128615705946688
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,stand,abdomen_y,-0.23957658625626937,0.2521384759149514,0.15676770289663602,0.0,0.006078108256695032,1.1029158387265674,0.04375833686954373
P02_auto_xml_standard_no_ref,biomechanics_noerfi_nodr_accurate_ppo_BiomechanicsHumanJoystickStandard_20260616_0006_50m_seed7_rew_654p7552_best_654p7552_s,turn,abdomen_y,-0.27438336292828897,0.3200773521120427,0.2728489816762236,0.0,0.015556312878865277,2.8165648785911754,0.23111815439845407
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,diagonal,abdomen_y,-0.26895133858697956,0.34151079042151106,0.28421274791340895,0.0,0.036553027912640985,6.581073874621774,2.176129852603454
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,forward,abdomen_y,-0.07976384933973896,0.244338071816077,0.301639977992245,0.0,0.02242557288730067,4.012850305336488,0.879388422363585
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,forward_slow,abdomen_y,-0.08297202182677574,0.26949479842279106,0.3175983071318107,0.0,0.02188520650182523,3.9311780140602766,0.8591238924304814
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,lateral,abdomen_y,-0.42757413353584706,0.49876147882826627,0.3119206781130277,0.001,0.022004213022851854,3.9737544515568524,0.7611035892296006
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,stand,abdomen_y,-0.07170466797199333,0.35472609608009226,0.43179581094034825,0.043,0.03127009827924632,5.641060227954345,1.4953696130606926
P03_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_18350_resume_forward_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_0254_80m_seed7_running,turn,abdomen_y,-0.08758043136255583,0.2612903820607462,0.3134443684021971,0.0,0.03201692922155417,5.743464672052542,1.6544223769152513
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,diagonal,abdomen_y,-0.17902290031162557,0.32537018446566074,0.32818985144932566,0.0,0.03713967286574883,6.638375061732643,1.7191325324215796
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,forward,abdomen_y,-0.07448422150756233,0.25663717625825666,0.3107027415138267,0.0,0.024104599596316,4.351451794157219,1.1155487718698558
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,forward_slow,abdomen_y,-0.037671725693857294,0.25384788389713503,0.32117147987169054,0.0,0.023706062642711627,4.265262755309317,1.070248273686671
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,lateral,abdomen_y,-0.30682705468928906,0.39706699865346307,0.32765729989389036,0.002,0.019694180500995577,3.528751290784531,0.6870166360853066
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,stand,abdomen_y,0.025364873206359335,0.2754236791586736,0.33922878892322805,0.005,0.021963089554272876,3.933341832365139,0.8063338036400612
P04_v16_forward_bvh,biomechanics_noerfi_nodr_forward_ref_bvh_v10_ref_root_foot_gate_accurate_ppo_BiomechanicsHumanJoystickStandard_20260621_1736_8m_seed7_rew_1162p4832_best_1162p4832_s,turn,abdomen_y,0.010587343458435499,0.2439450433285674,0.31478376758487914,0.003,0.026413399246101275,4.753945774103991,0.9577219711507196
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,diagonal,abdomen_y,0.02235858753824141,0.25155532636737915,0.31260486012365923,0.0,0.020830303694595396,3.755055351458807,0.8304785839516562
P05_v16_standard_bvh,biomechanics_noerfi_nodr_ref_bvh_v10_standard_resume3_from_29286400_100m_accurate_ppo_BiomechanicsHumanJoystickStandard_20260625_0018_100m_seed7_rew_758p4744_best_1029p5856_s,forward,abdomen_y,0.08571641899447423,0.27868521584325934,0.3394332760537451,0.0,0.014837985748105997,2.6676384560993522,0.7051574621575105
